Title,prix,unité,Category,Avis,Availability
Library of Souls (Miss Peregrineâs Peculiar Children #3),4856.0,£,Young Adult,5,In stock
Frostbite (Vampire Academy #2),2999.0,£,Young Adult,5,In stock
Wild Swans,1436.0,£,Young Adult,2,In stock
Until Friday Night (The Field Party #1),4631.0,£,Young Adult,2,In stock
This Is Where It Ends,2712.0,£,Young Adult,2,In stock
The Darkest Lie,3535.0,£,Young Adult,5,In stock
My Kind of Crazy,4036.0,£,Young Adult,1,In stock
Don't Get Caught,5535.0,£,Young Adult,1,In stock
Catching Jordan (Hundred Oaks),5083.0,£,Young Adult,3,In stock
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),5814.0,£,Young Adult,4,In stock
The Epidemic (The Program 0.6),1444.0,£,Young Adult,5,In stock
Stars Above (The Lunar Chronicles #4.5),4805.0,£,Young Adult,2,In stock
No Love Allowed (Dodge Cove #1),5465.0,£,Young Adult,4,In stock
"Exit, Pursued by a Bear",5134.0,£,Young Adult,4,In stock
The Alien Club,5440.0,£,Young Adult,1,In stock
Don't Forget Steven,3323.0,£,Young Adult,1,In stock
South of Sunshine,2893.0,£,Young Adult,1,In stock
My Life Next Door (My Life Next Door ),3639.0,£,Young Adult,5,In stock
Future Shock (Future Shock #1),5565.0,£,Young Adult,5,In stock
Nightstruck: A Novel,5035.0,£,Young Adult,4,In stock
Tell the Wolves I'm Home,5096.0,£,Young Adult,2,In stock
"Will Grayson, Will Grayson (Will Grayson, Will Grayson)",4731.0,£,Young Adult,4,In stock
Where She Went (If I Stay #2),4173.0,£,Young Adult,4,In stock
Two Summers,1464.0,£,Young Adult,1,In stock
The Darkest Corners,1133.0,£,Young Adult,5,In stock
Tell Me Three Things,4181.0,£,Young Adult,1,In stock
Lola and the Boy Next Door (Anna and the French Kiss #2),2363.0,£,Young Adult,4,In stock
Kill the Boy Band,1552.0,£,Young Adult,5,In stock
Isla and the Happily Ever After (Anna and the French Kiss #3),4813.0,£,Young Adult,5,In stock
An Abundance of Katherines,1000.0,£,Young Adult,5,In stock
Harry Potter and the Prisoner of Azkaban (Harry Potter #3),2417.0,£,Young Adult,4,In stock
Walk the Edge (Thunder Road #2),3236.0,£,Young Adult,3,In stock
Two Boys Kissing,3274.0,£,Young Adult,2,In stock
The New Guy (and Other Senior Year Distractions),4492.0,£,Young Adult,3,In stock
"The Land of 10,000 Madonnas",2964.0,£,Young Adult,4,In stock
Scarlet (The Lunar Chronicles #2),1457.0,£,Young Adult,4,In stock
Legend (Legend #1),4369.0,£,Young Adult,4,In stock
Lady Renegades (Rebel Belle #3),5304.0,£,Young Adult,5,In stock
Golden (Heart of Dread #3),4221.0,£,Young Adult,4,In stock
Cinder (The Lunar Chronicles #1),2609.0,£,Young Adult,1,In stock
Boy Meets Boy,2112.0,£,Young Adult,3,In stock
Annie on My Mind,3683.0,£,Young Adult,5,In stock
New Moon (Twilight #2),1286.0,£,Young Adult,4,In stock
Girl Online On Tour (Girl Online #2),5347.0,£,Young Adult,1,In stock
The Haters,2789.0,£,Young Adult,5,In stock
The Art of Not Breathing,4083.0,£,Young Adult,4,In stock
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,4296.0,£,Science,4,In stock
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,5736.0,£,Science,5,In stock
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,4474.0,£,Science,4,In stock
Tipping Point for Planet Earth: How Close Are We to the Edge?,3755.0,£,Science,1,In stock
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",5591.0,£,Science,1,In stock
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,2841.0,£,Science,1,In stock
The Origin of Species,1001.0,£,Science,4,In stock
The Grand Design,1376.0,£,Science,3,In stock
Peak: Secrets from the New Science of Expertise,1628.0,£,Science,2,In stock
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",1303.0,£,Science,4,In stock
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",5735.0,£,Science,5,In stock
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",2583.0,£,Science,2,In stock
Seven Brief Lessons on Physics,3060.0,£,Science,4,In stock
The Selfish Gene,2945.0,£,Science,1,In stock
A Light in the Attic,5177.0,£,Poetry,3,In stock
The Black Maria,5215.0,£,Poetry,1,In stock
Shakespeare's Sonnets,2066.0,£,Poetry,4,In stock
Olio,2388.0,£,Poetry,1,In stock
You can't bury them all: Poems,3363.0,£,Poetry,2,In stock
Slow States of Collapse: Poems,5731.0,£,Poetry,3,In stock
Untitled Collection: Sabbath Poems 2014,1427.0,£,Poetry,4,In stock
Poems That Make Grown Women Cry,1419.0,£,Poetry,4,In stock
Night Sky with Exit Wounds,4105.0,£,Poetry,1,In stock
salt.,4678.0,£,Poetry,4,In stock
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",5089.0,£,Poetry,5,In stock
Out of Print: City Lights Spotlight No. 14,5364.0,£,Poetry,5,In stock
Les Fleurs du Mal,2904.0,£,Poetry,5,In stock
Howl and Other Poems,4045.0,£,Poetry,2,In stock
Leave This Song Behind: Teen Poetry at Its Best,5117.0,£,Poetry,5,In stock
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),1542.0,£,Poetry,5,In stock
The Crossover,3877.0,£,Poetry,4,In stock
Booked,1749.0,£,Poetry,5,In stock
Twenty Love Poems and a Song of Despair,3095.0,£,Poetry,4,In stock
"Vampire Knight, Vol. 1 (Vampire Knight #1)",1540.0,£,Paranormal,1,In stock
Wall and Piece,4418.0,£,Art,4,In stock
Feathers: Displays of Brilliant Plumage,4905.0,£,Art,3,In stock
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,4863.0,£,Art,4,In stock
The New Drawing on the Right Side of the Brain,4302.0,£,Art,3,In stock
History of Beauty,1029.0,£,Art,4,In stock
The Story of Art,4114.0,£,Art,4,In stock
The Art Book,3234.0,£,Art,2,In stock
Ways of Seeing,3951.0,£,Art,5,In stock
The Lucifer Effect: Understanding How Good People Turn Evil,1040.0,£,Psychology,1,In stock
The Golden Condom: And Other Essays on Love Lost and Found,3943.0,£,Psychology,1,In stock
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,5627.0,£,Psychology,3,In stock
An Unquiet Mind: A Memoir of Moods and Madness,2130.0,£,Psychology,3,In stock
"Thinking, Fast and Slow",2114.0,£,Psychology,1,In stock
Civilization and Its Discontents,5995.0,£,Psychology,2,In stock
8 Keys to Mental Health Through Exercise,3104.0,£,Psychology,1,In stock
The Argonauts,1093.0,£,Autobiography,2,In stock
M Train,2718.0,£,Autobiography,1,In stock
Lab Girl,4085.0,£,Autobiography,1,In stock
Approval Junkie: Adventures in Caring Too Much,5881.0,£,Autobiography,5,In stock
Running with Scissors,1291.0,£,Autobiography,4,In stock
Me Talk Pretty One Day,5760.0,£,Autobiography,2,In stock
Lust & Wonder,1187.0,£,Autobiography,2,In stock
Life Without a Recipe,5904.0,£,Autobiography,5,In stock
A Heartbreaking Work of Staggering Genius,5429.0,£,Autobiography,5,In stock
Catastrophic Happiness: Finding Joy in Childhood's Messy Years,3735.0,£,Parenting,2,In stock
Fifty Shades Freed (Fifty Shades #3),1536.0,£,Adult Fiction,5,In stock
The Long Haul (Diary of a Wimpy Kid #9),4407.0,£,Humor,1,In stock
Old School (Diary of a Wimpy Kid #10),1183.0,£,Humor,5,In stock
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,2598.0,£,Humor,4,In stock
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",1475.0,£,Humor,5,In stock
Dress Your Family in Corduroy and Denim,4368.0,£,Humor,3,In stock
Toddlers Are A**holes: It's Not Your Fault,2555.0,£,Humor,1,In stock
When You Are Engulfed in Flames,3089.0,£,Humor,5,In stock
Naked,3169.0,£,Humor,3,In stock
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",5550.0,£,Humor,5,In stock
Holidays on Ice,5107.0,£,Humor,2,In stock
Security,3925.0,£,Horror,2,In stock
Follow You Home,2136.0,£,Horror,1,In stock
The Loney,2340.0,£,Horror,1,In stock
Pet Sematary,1056.0,£,Horror,3,In stock
Doctor Sleep (The Shining #2),4012.0,£,Horror,2,In stock
Psycho: Sanitarium (Psycho #1.5),3697.0,£,Horror,5,In stock
Can You Keep a Secret? (Fear Street Relaunch #4),4864.0,£,Horror,1,In stock
Red Dragon (Hannibal Lecter #1),2337.0,£,Horror,3,In stock
Dracula the Un-Dead,3563.0,£,Horror,5,In stock
Night Shift (Night Shift #1-20),1275.0,£,Horror,4,In stock
Needful Things,4751.0,£,Horror,4,In stock
Misery,3479.0,£,Horror,2,In stock
It,2501.0,£,Horror,3,In stock
'Salem's Lot,4956.0,£,Horror,4,In stock
The Stand,5786.0,£,Horror,2,In stock
The Girl with All the Gifts,4947.0,£,Horror,3,In stock
House of Leaves,5489.0,£,Horror,1,In stock
Sapiens: A Brief History of Humankind,5423.0,£,History,5,In stock
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",2552.0,£,History,1,In stock
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,1973.0,£,History,1,In stock
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",3628.0,£,History,2,In stock
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,5964.0,£,History,1,In stock
Zealot: The Life and Times of Jesus of Nazareth,2470.0,£,History,3,In stock
A Distant Mirror: The Calamitous 14th Century,1458.0,£,History,3,In stock
1491: New Revelations of the Americas Before Columbus,2180.0,£,History,3,In stock
Brilliant Beacons: A History of the American Lighthouse,1145.0,£,History,3,In stock
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",4448.0,£,History,5,In stock
A Short History of Nearly Everything,5240.0,£,History,5,In stock
The Rise and Fall of the Third Reich: A History of Nazi Germany,3967.0,£,History,2,In stock
Catherine the Great: Portrait of a Woman,5855.0,£,History,4,In stock
The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,4291.0,£,History,5,In stock
The Hiding Place,5591.0,£,History,4,In stock
America's War for the Greater Middle East: A Military History,5122.0,£,History,2,In stock
The Guns of August,1454.0,£,History,2,In stock
"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",4370.0,£,History,2,In stock
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",3052.0,£,Food and Drink,3,In stock
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",5641.0,£,Food and Drink,1,In stock
My Paris Kitchen: Recipes and Stories,3337.0,£,Food and Drink,2,In stock
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",1402.0,£,Food and Drink,4,In stock
"Layered: Baking, Building, and Styling Spectacular Cakes",4011.0,£,Food and Drink,1,In stock
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,3734.0,£,Food and Drink,5,In stock
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,3760.0,£,Food and Drink,2,In stock
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,4125.0,£,Food and Drink,1,In stock
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",4216.0,£,Food and Drink,3,In stock
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,2877.0,£,Food and Drink,3,In stock
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",1955.0,£,Food and Drink,1,In stock
Barefoot Contessa Back to Basics,2801.0,£,Food and Drink,1,In stock
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,5062.0,£,Food and Drink,5,In stock
My Kitchen Year: 136 Recipes That Saved My Life,1153.0,£,Food and Drink,2,In stock
Everyday Italian: 125 Simple and Delicious Recipes,2010.0,£,Food and Drink,5,In stock
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",3877.0,£,Food and Drink,1,In stock
Cravings: Recipes for What You Want to Eat,2050.0,£,Food and Drink,3,In stock
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",1234.0,£,Food and Drink,4,In stock
32 Yolks,5363.0,£,Food and Drink,2,In stock
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",1138.0,£,Food and Drink,5,In stock
How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food (How to Cook Everything),4601.0,£,Food and Drink,4,In stock
How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,2825.0,£,Food and Drink,2,In stock
The Barefoot Contessa Cookbook,5992.0,£,Food and Drink,5,In stock
Better Homes and Gardens New Cook Book,3961.0,£,Food and Drink,3,In stock
The Power Greens Cookbook: 140 Delicious Superfood Recipes,1105.0,£,Food and Drink,5,In stock
Mexican Today: New and Rediscovered Recipes for Contemporary Kitchens,2491.0,£,Food and Drink,5,In stock
Vegan Vegetarian Omnivore: Dinner for Everyone at the Table,1366.0,£,Food and Drink,2,In stock
The Smitten Kitchen Cookbook,2359.0,£,Food and Drink,1,In stock
"The Art of Simple Food: Notes, Lessons, and Recipes from a Delicious Revolution",3432.0,£,Food and Drink,3,In stock
Hungry Girl Clean & Hungry: Easy All-Natural Recipes for Healthy Eating in the Real World,3314.0,£,Food and Drink,3,In stock
Redeeming Love,2047.0,£,Christian Fiction,5,In stock
Close to You,4946.0,£,Christian Fiction,4,In stock
Shadows of the Past (Logan Point #1),3967.0,£,Christian Fiction,5,In stock
Like Never Before (Walker Family #2),2877.0,£,Christian Fiction,2,In stock
Counted With the Stars (Out from Egypt #1),1797.0,£,Christian Fiction,5,In stock
If I Run (If I Run #1),4997.0,£,Christian Fiction,4,In stock
The Dirty Little Secrets of Getting Your Dream Job,3334.0,£,Business,4,In stock
The Third Wave: An Entrepreneurâs Vision of the Future,1261.0,£,Business,5,In stock
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,2755.0,£,Business,3,In stock
Shoe Dog: A Memoir by the Creator of NIKE,2399.0,£,Business,2,In stock
Made to Stick: Why Some Ideas Survive and Others Die,3885.0,£,Business,5,In stock
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,4314.0,£,Business,1,In stock
The Art of Startup Fundraising,2100.0,£,Business,3,In stock
Born for This: How to Find the Work You Were Meant to Do,2159.0,£,Business,5,In stock
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,3691.0,£,Business,1,In stock
"Rich Dad, Poor Dad",5174.0,£,Business,1,In stock
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,3392.0,£,Business,3,In stock
Rework,4488.0,£,Business,2,In stock
Louisa: The Extraordinary Life of Mrs. Adams,1685.0,£,Biography,2,In stock
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",2115.0,£,Biography,2,In stock
The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,3955.0,£,Biography,1,In stock
Benjamin Franklin: An American Life,4819.0,£,Biography,3,In stock
The Rise of Theodore Roosevelt (Theodore Roosevelt #1),4257.0,£,Biography,3,In stock
In Her Wake,1284.0,£,Thriller,1,In stock
The Elephant Tree,2382.0,£,Thriller,5,In stock
Behind Closed Doors,5222.0,£,Thriller,4,In stock
You (You #1),4361.0,£,Thriller,5,In stock
The Guilty (Will Robie #4),1382.0,£,Thriller,2,In stock
The 14th Colony (Cotton Malone #11),3924.0,£,Thriller,1,In stock
Give It Back,1832.0,£,Thriller,2,In stock
Killing Floor (Jack Reacher #1),3149.0,£,Thriller,4,In stock
The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),5971.0,£,Thriller,3,In stock
Far From True (Promise Falls Trilogy #2),3493.0,£,Thriller,2,In stock
The Travelers,1577.0,£,Thriller,1,In stock
When We Collided,3177.0,£,Contemporary,1,In stock
Someone Like You (The Harrisons #2),5279.0,£,Contemporary,5,In stock
We Are All Completely Beside Ourselves,2404.0,£,Contemporary,1,In stock
The Four Agreements: A Practical Guide to Personal Freedom,1766.0,£,Spirituality,5,In stock
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,3224.0,£,Spirituality,5,In stock
Chasing Heaven: What Dying Taught Me About Living,3780.0,£,Spirituality,2,In stock
If I Gave You God's Phone Number....: Searching for Spirituality in America,2091.0,£,Spirituality,1,In stock
Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,4633.0,£,Spirituality,2,In stock
A New Earth: Awakening to Your Life's Purpose,5565.0,£,Spirituality,5,In stock
Logan Kade (Fallen Crest High #5.5),1312.0,£,Academic,2,In stock
Online Marketing for Busy Authors: A Step-By-Step Guide,4635.0,£,Self Help,1,In stock
How to Be Miserable: 40 Strategies You Already Use,4603.0,£,Self Help,1,In stock
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",5215.0,£,Self Help,3,In stock
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,1208.0,£,Self Help,3,In stock
How to Stop Worrying and Start Living,4649.0,£,Self Help,5,In stock
All the Light We Cannot See,2987.0,£,Historical,5,In stock
The Girl You Left Behind (The Girl You Left Behind #1),1579.0,£,Historical,1,In stock
(Un)Qualified: How God Uses Broken People to Do Big Things,5400.0,£,Christian,5,In stock
Crazy Love: Overwhelmed by a Relentless God,4772.0,£,Christian,2,In stock
Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,2577.0,£,Christian,1,In stock
Silence in the Dark (Logan Point #4),5833.0,£,Suspense,3,In stock
The Grownup,3588.0,£,Short Stories,1,In stock
Suzie Snowflake: One beautiful flake (a self-esteem story),5481.0,£,Novels,5,In stock
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",4905.0,£,Health,3,In stock
"Eat Fat, Get Thin",5407.0,£,Health,2,In stock
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,4971.0,£,Health,5,In stock
The Art and Science of Low Carbohydrate Living,5298.0,£,Health,5,In stock
Libertarianism for Beginners,5133.0,£,Politics,2,In stock
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,5265.0,£,Politics,4,In stock
Equal Is Unfair: America's Misguided Fight Against Income Inequality,5686.0,£,Politics,1,In stock
Amid the Chaos,3658.0,£,Cultural,1,In stock
Dark Notes,1919.0,£,Erotica,5,In stock
The Long Shadow of Small Ghosts: Murder and Memory in an American City,1097.0,£,Crime,1,In stock
